Scheme Code;ISIN Div Payout/ ISIN Growth;ISIN Div Reinvestment;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date;Scheme Classification;Scheme Type;Scheme Category;Fund Family;Fund ID;Scheme Short Name
135765;INF846K01WP8;-;Axis Children's Gift Fund - Lock in - Direct Dividend;12.1267;12.1267;12.1267;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Children's Gift Fund
135762;INF846K01WO1;-;Axis Children's Gift Fund - Lock in - Direct Growth;12.1274;12.1274;12.1274;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Children's Gift Fund
135760;INF846K01WK9;-;Axis Children's Gift Fund - Lock in - Dividend;11.8131;11.8131;11.8131;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Children's Gift Fund
135759;INF846K01WJ1;-;Axis Children's Gift Fund - Lock in - Growth;11.8080;11.8080;11.8080;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Children's Gift Fund
135763;INF846K01WS2;INF846K01WQ6;Axis Children's Gift Fund - without Lock in - Direct Dividend;12.1267;11.7629;12.1267;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Children's Gift Fund
135764;INF846K01WR4;-;Axis Children's Gift Fund - without Lock in - Direct Growth;12.2024;11.8363;12.2024;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Children's Gift Fund
135761;INF846K01WN3;INF846K01WL7;Axis Children's Gift Fund - without Lock in - Dividend;11.8119;11.4575;11.8119;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Children's Gift Fund
135766;INF846K01WM5;-;Axis Children's Gift Fund - without Lock in - Growth;11.8066;11.4524;11.8066;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Children's Gift Fund
120523;INF846K01ET8;INF846K01EU6;Axis Triple Advantage Fund - Direct Plan - Dividend Option;15.8612;15.7026;15.8612;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Triple Advantage Fund
120524;INF846K01EV4;-;Axis Triple Advantage Fund - Direct Plan - Growth Option;18.4203;18.2361;18.4203;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Triple Advantage Fund
113065;INF846K01776;INF846K01784;Axis Triple Advantage Fund - Dividend Option;14.2964;14.1534;14.2964;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Triple Advantage Fund
113064;INF846K01768;-;Axis Triple Advantage Fund - Growth Option;17.5286;17.3533;17.5286;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Axis Mutual Fund;53;Axis Triple Advantage Fund
125112;INF955L01DB5;-;Baroda Pioneer Balance Fund - Plan A - Bonus Option;43.50;43.07;43.50;27-Dec-2016;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Baroda Pioneer Mutual Fund;4;Baroda Pioneer Balance Fund
101913;INF955L01682;INF955L01690;BARODA PIONEER BALANCE FUND - Plan A - Dividend Option;18.62;18.43;18.62;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Baroda Pioneer Mutual Fund;4;BARODA PIONEER BALANCE FUND
101912;INF955L01708;-;BARODA PIONEER BALANCE FUND - Plan A - Growth Option;53.68;53.14;53.68;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Baroda Pioneer Mutual Fund;4;BARODA PIONEER BALANCE FUND
119325;INF955L01922;-;BARODA PIONEER BALANCE FUND - Plan B (Direct) - Dividend Option;20.16;19.96;20.16;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Baroda Pioneer Mutual Fund;4;BARODA PIONEER BALANCE FUND
119326;INF955L01948;-;BARODA PIONEER BALANCE FUND - Plan B (Direct) - Growth Option;56.45;55.89;56.45;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Baroda Pioneer Mutual Fund;4;BARODA PIONEER BALANCE FUND
120518;INF209KA1LH3;INF209K01ZB2;Birla Sun Life Balanced '95 Fund - Direct Plan-Dividend;214.98;212.83;214.98;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Birla Sun Life Mutual Fund;3;Birla Sun Life Balanced '95 Fund
120517;INF209K01ZC0;-;Birla Sun Life Balanced '95 Fund - Direct Plan-Growth;760.18;752.58;760.18;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Birla Sun Life Mutual Fund;3;Birla Sun Life Balanced '95 Fund
103154;INF209K01BS7;INF209K01EE1;Birla Sun Life Balanced '95 Fund - Regular Plan-Dividend;150.66;149.15;150.66;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Birla Sun Life Mutual Fund;3;Birla Sun Life Balanced '95 Fund
103155;INF209K01BT5;-;Birla Sun Life Balanced '95 Fund - Regular Plan-Growth;726.10;718.84;726.10;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Birla Sun Life Mutual Fund;3;Birla Sun Life Balanced '95 Fund
131671;INF084M01DK3;INF084M01DL1;Birla Sun Life Balanced Advantage Fund - Direct Plan - Dividend Option;23.06;22.83;23.06;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Birla Sun Life Mutual Fund;3;Birla Sun Life Balanced Advantage Fund
131670;INF084M01DJ5;-;Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option;51.39;50.88;51.39;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Birla Sun Life Mutual Fund;3;Birla Sun Life Balanced Advantage Fund
131665;INF084M01AC6;INF084M01AD4;Birla Sun Life Balanced Advantage Fund - Regular Plan - Dividend Option;22.22;22.00;22.22;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Birla Sun Life Mutual Fund;3;Birla Sun Life Balanced Advantage Fund
131666;INF084M01AB8;-;Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option;49.64;49.14;49.64;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Birla Sun Life Mutual Fund;3;Birla Sun Life Balanced Advantage Fund
141005;INF251K01PB5;INF251K01PA7;BNP PARIBAS BALANCED FUND -DIRECT PLAN- DIVIDEND OPTION;10.3660;10.3660;10.3660;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;BNP Paribas Mutual Fund;59;BNP PARIBAS BALANCED FUND
141006;INF251K01OZ7;-;BNP PARIBAS BALANCED FUND- DIRECT PLAN - GROWTH OPTION;10.5222;10.5222;10.5222;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;BNP Paribas Mutual Fund;59;BNP PARIBAS BALANCED FUND
141007;INF251K01OY0;INF251K01OX2;BNP PARIBAS BALANCED FUND- REGULAR PLAN- DIVIDEND OPTION;10.3131;10.3131;10.3131;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;BNP Paribas Mutual Fund;59;BNP PARIBAS BALANCED FUND
141004;INF251K01OW4;-;BNP PARIBAS BALANCED FUND- REGULAT PLAN -GROWTH OPTION;10.4660;10.4660;10.4660;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;BNP Paribas Mutual Fund;59;BNP PARIBAS BALANCED FUND
127852;INF761K01BM0;INF761K01BN8;BOI AXA EQUITY DEBT REBALANCER FUND DIRECT PLAN DIVIDEND;12.4603;12.4603;12.4603;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;BOI AXA Mutual Fund;46;BOI AXA EQUITY DEBT REBALANCER FUND DIRECT PLAN DIVIDEND
127851;INF761K01BP3;INF761K01BQ1;BOI AXA EQUITY DEBT REBALANCER FUND REGULAR PLAN DIVIDEND;11.0370;11.0370;11.0370;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;BOI AXA Mutual Fund;46;BOI AXA EQUITY DEBT REBALANCER FUND REGULAR PLAN DIVIDEND
127850;INF761K01BO6;-;BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH;14.9136;14.9136;14.9136;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;BOI AXA Mutual Fund;46;BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH
127849;INF761K01BR9;-;BOIAXAEQUITY DEBT REBALANCER FUND REGULAR PLAN GROWTH;14.6849;14.6849;14.6849;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;BOI AXA Mutual Fund;46;BOIAXAEQUITY DEBT REBALANCER FUND REGULAR PLAN GROWTH
118272;INF760K01EZ8;-;Canara Robeco Balance - Direct Plan - Growth;144.5500;144.5500;144.5500;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Canara Robeco Mutual Fund;32;Canara Robeco Balance
118271;INF760K01EX3;INF760K01EY1;Canara Robeco Balance - Direct Plan - Monthly Dividend;85.3400;85.3400;85.3400;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Canara Robeco Mutual Fund;32;Canara Robeco Balance
106166;INF760K01050;-;Canara Robeco Balance - Regular Plan - Growth;140.4800;140.4800;140.4800;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Canara Robeco Mutual Fund;32;Canara Robeco Balance
106167;INF760K01068;INF760K01076;Canara Robeco Balance - Regular Plan - Monthly Dividend;82.6500;82.6500;82.6500;09-Aug-2017;Open Ended Schemes(Balanced);Open Ended Schemes;Balanced;Canara Robeco Mutual Fund;32;Canara Robeco Balance
